TS:108073665,TJ:107029634
TS:7405602,TJ:7151756
TS:6954920,TJ:6485247
TS:1841821065,TJ:1837213031
TS:10082164,TJ:9895129
TS:20253659,TJ:19978002
TS:25179383,TJ:24917822
TS:6449489,TJ:6230310
TS:1927373624,TJ:1927066263
TS:5031542,TJ:4856230
TS:13097303,TJ:12880815
TS:5973097,TJ:5740610
TS:9140214,TJ:8707013
TS:7419336,TJ:7191145
TS:2131736727,TJ:2131504614
TS:6394519,TJ:6158772
TS:8339817,TJ:8134025
TS:6372397,TJ:6177592
TS:12168095,TJ:11980669
TS:6505511,TJ:6330002
TS:2189181735,TJ:2188807882
TS:18373103,TJ:18194392
TS:4800570,TJ:4668874
TS:4492725,TJ:4296616
TS:11486286,TJ:11329035
TS:2656198082,TJ:2655895609
TS:7151425,TJ:6975233
TS:2618370593,TJ:2618092250
TS:5320247,TJ:5091846
TS:2600026945,TJ:2599822563
TS:8066024,TJ:7822866
TS:2547967722,TJ:2547822030
TS:5017050,TJ:4877986
TS:5603862,TJ:5477594
TS:2571167163,TJ:2570879803
TS:2610616464,TJ:2610390638
TS:2623587200,TJ:2623347719
TS:9387768,TJ:9224267
TS:4356470,TJ:4179118
TS:2646303006,TJ:2646124323
TS:5551363,TJ:5369906
TS:30418252,TJ:30266952
TS:7166098,TJ:6973852
TS:13360228,TJ:13191232
TS:9217653,TJ:9072488
TS:10859476,TJ:10709868
TS:6806234,TJ:6619984
TS:6508779,TJ:6342225
TS:4401878,TJ:4233728
TS:2612571756,TJ:2612273673
TS:2608030517,TJ:2607789655
TS:5317244,TJ:5157219
TS:2621095637,TJ:2620884433
TS:2605627988,TJ:2605391863
TS:33503260,TJ:32958274
TS:16408418,TJ:16209701
TS:14472445,TJ:14284249
TS:2655646120,TJ:2655339328
TS:12176964,TJ:11999894
TS:9668064,TJ:9522732
TS:2655601197,TJ:2655371834
TS:4767458,TJ:4569957
TS:6617844,TJ:6387979
TS:4559897,TJ:4387609
TS:4343815,TJ:4214078
TS:8103325,TJ:7825199
TS:4590162,TJ:4412473
TS:6340392,TJ:6182989
TS:2687954434,TJ:2687743908
TS:9163286,TJ:8951987
TS:2622543579,TJ:2622323466
TS:13712223,TJ:13533795
TS:2618659820,TJ:2618369482
TS:4678200,TJ:4429529
TS:2628207066,TJ:2628006846
TS:4661027,TJ:4499899
TS:2523239734,TJ:2523033221
TS:2558611759,TJ:2558458490
TS:4966353,TJ:4819523
TS:4382397,TJ:4227536
TS:11721439,TJ:11556205
TS:4808336,TJ:4661056
TS:4998713,TJ:4771239
TS:8970717,TJ:8740868
TS:16539747,TJ:16331703
TS:19647312,TJ:19447035
TS:2081690549,TJ:2081402222
TS:2075906981,TJ:2075676463
TS:4811656,TJ:4623892
TS:2033256216,TJ:2032985423
TS:1968396666,TJ:1968160456
TS:4328846,TJ:4180868
TS:3977233,TJ:3820203
TS:5164865,TJ:4939933
TS:4430291,TJ:4278589
TS:4314140,TJ:4166888
TS:1960836572,TJ:1960487835
TS:9232696,TJ:9050132
TS:6004484,TJ:5823864
TS:13002438,TJ:12788597
TS:6778418,TJ:6572468
TS:6750719,TJ:6586938
TS:6305166,TJ:6078865
TS:4124717,TJ:3990543
TS:4412715,TJ:4256268
TS:1999047506,TJ:1998804846
TS:1962623100,TJ:1962372032
TS:5300967,TJ:5148626
TS:4580671,TJ:4420549
TS:1931784569,TJ:1931548193
TS:1924507301,TJ:1924200943
TS:1987845368,TJ:1987624107
TS:1996786412,TJ:1996651916
TS:7286162,TJ:7119299
TS:16693166,TJ:16549733
TS:10018352,TJ:9878069
TS:5575499,TJ:5429952
TS:1983386549,TJ:1983176698
TS:14228463,TJ:14049521
TS:1997563511,TJ:1997216868
TS:2007955095,TJ:2007727987
TS:5935621,TJ:5777744
TS:2001286721,TJ:2001100497
TS:6832839,TJ:6686193
TS:10426342,TJ:10284886
TS:1966730625,TJ:1966585839
TS:9522124,TJ:9371255
TS:23067959,TJ:22858905
TS:4687642,TJ:4511271
TS:2076848408,TJ:2076499464
TS:2113041319,TJ:2112758020
TS:2113727220,TJ:2113582348
TS:2058201771,TJ:2058034226
TS:9061459,TJ:8929791
TS:18512519,TJ:18359080
TS:30327119,TJ:30137617
TS:10549387,TJ:10298924
TS:14627390,TJ:14442140
TS:18604453,TJ:18452665
TS:30024385,TJ:29826079
