TS:439896179,TJ:435150350
TS:438175739,TJ:434559315
TS:405380906,TJ:398270006
TS:443383630,TJ:438865907
TS:265708495,TJ:264981988
TS:262445674,TJ:261919835
TS:234483545,TJ:233882417
TS:238036511,TJ:237452211
TS:187663639,TJ:187001222
TS:154642597,TJ:153993238
TS:149493342,TJ:148807788
TS:6500314616,TJ:6491827861
TS:5702352478,TJ:5698093188
TS:6507138762,TJ:6497081025
TS:5995731782,TJ:5987603326
TS:6504850086,TJ:6495852312
TS:5988475853,TJ:5979969045
TS:5873927292,TJ:5867100900
TS:6458517165,TJ:6451684315
TS:5484845650,TJ:5477068465
TS:5527679757,TJ:5526257404
TS:198979762,TJ:195430493
TS:212182882,TJ:211532508
TS:233375013,TJ:226102456
TS:226057881,TJ:225601037
TS:231204639,TJ:230738111
TS:226543779,TJ:226074488
TS:223875260,TJ:223380222
TS:216913032,TJ:216433901
TS:212277820,TJ:211778977
TS:268482403,TJ:267889732
TS:310444403,TJ:309779296
TS:303126364,TJ:302557566
TS:318676098,TJ:318235912
TS:309621856,TJ:309162079
TS:307920265,TJ:307442589
TS:314322199,TJ:313882633
TS:192844321,TJ:192246230
TS:214235274,TJ:213733944
TS:256810565,TJ:256369534
TS:214979428,TJ:214531602
TS:187243442,TJ:186736513
TS:181694009,TJ:180955072
TS:214129439,TJ:213613489
TS:146954768,TJ:146364495
TS:133671370,TJ:133238322
TS:99156922,TJ:98567839
TS:127025006,TJ:126565024
TS:134717894,TJ:134031976
TS:114313488,TJ:113860629
TS:116999094,TJ:114826211
TS:124727750,TJ:124336464
TS:110787691,TJ:110270807
TS:119370105,TJ:118964597
TS:116054594,TJ:115366202
TS:87762065,TJ:87173351
TS:5175869395,TJ:5175232903
TS:119033763,TJ:118492036
TS:6016917590,TJ:6013893626
TS:6105595382,TJ:6105068040
TS:139870810,TJ:139392847
TS:96416682,TJ:95869803
TS:6140178368,TJ:6139565722
TS:6173445076,TJ:6172947309
TS:121644050,TJ:121110066
TS:94492621,TJ:92524420
TS:6108264724,TJ:6107716226
TS:6117252445,TJ:6116802865
TS:6168039292,TJ:6167643882
TS:97998935,TJ:97450544
TS:168553131,TJ:168053900
TS:205676175,TJ:205207272
TS:5829337577,TJ:5828673097
TS:5710002738,TJ:5709438546
TS:99120704,TJ:95986334
TS:99596456,TJ:99098872
TS:83882124,TJ:81503768
TS:98140527,TJ:97596528
TS:117925875,TJ:117376303
TS:103816458,TJ:103318263
TS:62718553,TJ:61486435
TS:62956650,TJ:62103001
TS:69799583,TJ:69276720
TS:190446996,TJ:189923287
TS:123913937,TJ:123373240
TS:114583302,TJ:113999427
TS:158996869,TJ:158449068
TS:100572777,TJ:100052156
TS:6540820062,TJ:6540189485
TS:60216002,TJ:59690698
TS:35380155,TJ:33175090
TS:6585677329,TJ:6576741984
TS:113286253,TJ:110982306
TS:6552305743,TJ:6551718303
TS:65404016,TJ:61978528
TS:107938490,TJ:107447662
TS:71681283,TJ:71223195
TS:6513383154,TJ:6512852273
TS:6486868210,TJ:6486378497
TS:6635450765,TJ:6634969589
TS:6376154167,TJ:6375667752
TS:6467263638,TJ:6466820205
TS:127797935,TJ:127424368
TS:101291994,TJ:100863819
TS:108439127,TJ:108077274
TS:111573573,TJ:110978736
TS:46247267,TJ:44831197
TS:6664983856,TJ:6664457353
TS:50939654,TJ:50492516
TS:71069879,TJ:70586834
TS:5970385401,TJ:5969676163
TS:46995667,TJ:44287185
TS:62156075,TJ:61643245
TS:57052344,TJ:54462865
TS:5924476723,TJ:5923862313
TS:5930540420,TJ:5929856796
TS:5740917571,TJ:5740433959
TS:100051946,TJ:99577112
TS:104157190,TJ:103758095
TS:5759677020,TJ:5759168794
TS:5768263612,TJ:5767857169
TS:101975834,TJ:101524013
TS:63466929,TJ:63145259
TS:149253702,TJ:148869805
TS:115606775,TJ:115108518
TS:125023289,TJ:124655563
TS:133329983,TJ:130992359
TS:5874690311,TJ:5874241897
TS:5799469329,TJ:5799033602
TS:130480077,TJ:130037035
TS:155558936,TJ:155212522
TS:116417908,TJ:116078486
TS:39197720,TJ:38700852
TS:5783246046,TJ:5782841606
TS:118667074,TJ:118246118
TS:118396443,TJ:118081599
TS:94310039,TJ:93917636
TS:117758359,TJ:117270621
TS:120775332,TJ:120398045
TS:141062591,TJ:140604652
TS:117999821,TJ:117475035
TS:107195584,TJ:106732093
TS:274426062,TJ:274000872
TS:5930885289,TJ:5928549920
TS:105546260,TJ:103813357
TS:5947366104,TJ:5946957244
TS:5855646758,TJ:5855063758
TS:59589146,TJ:59124162
TS:5739762134,TJ:5739207855
TS:55085461,TJ:53464230
TS:5563173778,TJ:5562641128
TS:5677121140,TJ:5676708795
TS:96976330,TJ:96499950
TS:5640754862,TJ:5639825497
TS:47889712,TJ:46173400
TS:54600786,TJ:54144132
TS:5525715398,TJ:5525267748
TS:79019046,TJ:78569750
TS:88872644,TJ:88442530
TS:55009357,TJ:54593487
TS:62338178,TJ:61979357
TS:5431411631,TJ:5430957153
TS:5585870542,TJ:5585400647
TS:136487685,TJ:136031778
TS:155968607,TJ:155594407
TS:5378029799,TJ:5377506375
TS:112348447,TJ:111814937
TS:178565488,TJ:178080809
TS:174638094,TJ:174243405
TS:237646351,TJ:232477457
TS:97168977,TJ:96841836
TS:70832885,TJ:70308197
TS:126132362,TJ:125672474
TS:120793978,TJ:120341433
TS:136035171,TJ:135637080
TS:145699452,TJ:145342585
TS:155476052,TJ:151402515
TS:95920463,TJ:95445928
TS:133274351,TJ:132978008
TS:150728735,TJ:150369145
TS:133035812,TJ:132716311
TS:107004112,TJ:99473789
TS:121796496,TJ:121384411
TS:88889457,TJ:88464706
TS:81345486,TJ:81028888
TS:75857491,TJ:75391002
TS:5865860967,TJ:5865259921
TS:82133253,TJ:81630623
TS:5921420645,TJ:5920828279
TS:5852965931,TJ:5852430273
TS:5896934571,TJ:5896491503
TS:5804507771,TJ:5804132267
TS:67591149,TJ:65686355
TS:64186550,TJ:63854436
TS:75566990,TJ:75252570
TS:85411576,TJ:84670968
TS:91270497,TJ:90942239
TS:51146714,TJ:50795167
TS:61745968,TJ:61450133
TS:68926307,TJ:68541752
TS:97845003,TJ:97426703
TS:79071234,TJ:77925436
TS:73758887,TJ:73405173
TS:64571296,TJ:64132076
TS:80183688,TJ:75707113
TS:69232670,TJ:68750298
TS:55121113,TJ:52162174
TS:49333574,TJ:48854834
TS:6045526661,TJ:6045160028
TS:57974113,TJ:57445836
TS:40148322,TJ:39520822
TS:42043985,TJ:41586229
TS:65820810,TJ:63529151
TS:40495574,TJ:40091974
TS:5814241161,TJ:5813766784
TS:5867330499,TJ:5866934475
TS:94430354,TJ:93763453
TS:69740904,TJ:69300408
TS:5829066998,TJ:5828664326
TS:40982537,TJ:40549649
TS:5776257673,TJ:5775863655
TS:5808752350,TJ:5808218113
TS:60491291,TJ:60093302
TS:32608678,TJ:31225285
TS:5745980449,TJ:5745448274
TS:38036983,TJ:37641405
TS:85094007,TJ:84631319
TS:6049827286,TJ:6049289944
TS:5851416234,TJ:5850942249
TS:5781891739,TJ:5781037824
TS:56789303,TJ:56307155
TS:37765354,TJ:37361417
TS:60225543,TJ:59782165
TS:5728663512,TJ:5728206879
TS:5688698301,TJ:5688343825
TS:67781068,TJ:67328138
TS:34840051,TJ:34334377
TS:5625558280,TJ:5625104519
TS:5648690909,TJ:5648278486
TS:5701872176,TJ:5701404664
TS:39244398,TJ:38779582
TS:36797156,TJ:36381338
TS:66533338,TJ:66109315
TS:64616103,TJ:64205647
TS:40430105,TJ:39922428
TS:27884683,TJ:26339197
TS:5783703175,TJ:5783103801
TS:73861589,TJ:73434366
TS:5800124080,TJ:5799613170
TS:5556131625,TJ:5555599303
TS:31665450,TJ:29748983
TS:25124591,TJ:17334989
TS:89917178,TJ:89476168
TS:99489415,TJ:99049383
TS:5737448778,TJ:5736882763
TS:74313291,TJ:65763473
TS:5828354511,TJ:5827834027
TS:41208648,TJ:40825964
TS:36229952,TJ:35872890
TS:5866436483,TJ:5866018440
TS:49733627,TJ:49312265
TS:5827556968,TJ:5827120048
TS:26953346,TJ:26643182
TS:5768307617,TJ:5767954352
TS:5736874419,TJ:5736472991
TS:86622673,TJ:86268745
TS:87308448,TJ:86950408
TS:80601278,TJ:80259514
TS:87119461,TJ:86741416
TS:41647880,TJ:41227281
TS:72346926,TJ:71916382
TS:55704981,TJ:55275203
TS:52823215,TJ:52440170
TS:53345660,TJ:52922296
TS:47580137,TJ:47199246
TS:5861226497,TJ:5860886514
TS:32181376,TJ:28757400
TS:56247179,TJ:55792717
TS:78594099,TJ:78072435
TS:32801813,TJ:32397272
TS:73560241,TJ:73154861
TS:45471861,TJ:45116083
TS:47325827,TJ:46946317
TS:78721874,TJ:78308013
TS:42029046,TJ:41628832
TS:76607460,TJ:76181044
TS:73658629,TJ:73259928
TS:98950086,TJ:98544103
